Country;USD_Thousand
Afghanistan;2173,745
Albania;20018,303
Algeria;16900,136
Andorra;67395,98
Angola;9673,949
Antigua and Barbuda;29422,925
Argentina;29335,855
Armenia;21532,119
Aruba;48967,953
Australia;67900,529
Austria;71988,371
Azerbaijan;23660,458
Bahamas, The;36353,911
Bahrain;63497,708
Bangladesh;9211,637
Barbados;20765,473
Belarus;30115,084
Belgium;71035,464
Belize;14088,47
Benin;4243,964
Bhutan;15705,502
Bolivia;11028,11
Bosnia and Herzegovina;20431,303
Botswana;19391,042
Brazil;21052,021
Brunei Darussalam;86866,545
Bulgaria;36860,958
Burkina Faso;2712,681
Burundi;969,884
Cabo Verde;10681,55
Cambodia;7608,157
Cameroon;5361,094
Canada;62266,066
Central African Republic;1291,253
Chad;2757,762
Chile;32204,174
China, People's Republic of;24502,814
Colombia;20787,614
Comoros;3725,593
Congo, Dem. Rep. of the;1774,336
Congo, Republic of ;6252,157
Costa Rica;28226,753
Croatia;46005,225
Cyprus;56628,363
Czech Republic;55206,513
Côte d'Ivoire;7214,352
Denmark;80210,524
Djibouti;7988,555
Dominica;17265,606
Dominican Republic;27112,85
Ecuador;16192,853
Egypt;20180,861
El Salvador;12546,846
Equatorial Guinea;20675,69
Eritrea;no data
Estonia;47127,95
Eswatini;12232,255
Ethiopia;3783,947
Fiji;15266,481
Finland;63558,656
France;63880,888
Gabon;23345,612
Gambia, The;3318,339
Georgia;24849,107
Germany;69531,553
Ghana;7746,145
Greece;40047,873
Grenada;19358,429
Guatemala;14158,391
Guinea;4156,733
Guinea-Bissau;2954,584
Guyana;53584,551
Haiti;3132,982
Honduras;7295,076
Hong Kong SAR;71627,003
Hungary;44960,952
Iceland;78250,289
India;10233,445
Indonesia;15553,573
Iran;18658,141
Iraq;14766,838
Ireland;126991,82
Israel;53810,401
Italy;59164,515
Jamaica;11856,177
Japan;51399,027
Jordan;10455,864
Kazakhstan;39463,307
Kenya;6772,284
Kiribati;3386,612
Korea, Republic of;60046,345
Kosovo;15864,08
Kuwait;50933,256
Kyrgyz Republic;7279,263
Lao P.D.R.;9250,172
Latvia;41938,071
Lebanon;12453,967
Lesotho;3135,253
Liberia;1810,556
Libya;14781,326
Lithuania;51129,222
Luxembourg;148693,702
Macao SAR;117032,907
Madagascar;1911,404
Malawi;1691,672
Malaysia;38693,715
Maldives;32541,081
Mali;2762,817
Malta;69181,837
Marshall Islands;6270,541
Mauritania;7874,978
Mauritius;29511,256
Mexico;24248,718
Micronesia, Fed. States of;4526,908
Moldova;17320,302
Mongolia;17883,657
Montenegro;30007,337
Morocco;10180,615
Mozambique;1664,707
Myanmar;5061,102
Namibia;11349,849
Nauru;10625,931
Nepal;5153,126
Netherlands;79586,245
New Zealand;52856,074
Nicaragua;8492,336
Niger;1824,328
Nigeria;6366,706
North Macedonia ;25718,08
Norway;100153,712
Oman;41558,705
Pakistan;6530,888
Palau;15539,461
Panama;39846,203
Papua New Guinea;3375,533
Paraguay;15869,085
Peru;17024,651
Philippines;11281,377
Poland;48799,413
Portugal;47226,151
Puerto Rico;47717,536
Qatar;111789,459
Romania;44974,057
Russian Federation;44512,053
Rwanda;3510,651
Saint Kitts and Nevis;33051,45
Saint Lucia;25597,791
Saint Vincent and the Grenadines;18174,58
Samoa;6316,219
San Marino;78121,941
Saudi Arabia;61932,611
Senegal;4786,495
Serbia;27183,331
Seychelles;39248,893
Sierra Leone;3359,662
Singapore;141553,675
Slovak Republic;43555,921
Slovenia;53631,545
Solomon Islands;2554,413
Somalia;1780,276
South Africa;15423,596
South Sudan, Republic of;1042,097
Spain;52907,924
Sri Lanka;no data
Sudan;3158,077
Suriname;20614,284
Sweden;70046,951
Switzerland;93054,781
Syria;no data
São Tomé and Príncipe;6123,667
Taiwan Province of China;74408,882
Tajikistan;5147,945
Tanzania;3943,736
Thailand;23981,207
Timor-Leste;5152,032
Togo;3125,219
Tonga;7477,138
Trinidad and Tobago;33790,98
Tunisia;13892,913
Turkmenistan;25977,504
Tuvalu;6138,265
Türkiye, Republic of;38390,949
Uganda;3460,145
Ukraine;18269,595
United Arab Emirates;74713,617
United Kingdom;60735,429
United States;82715,1
Uruguay;32703,997
Uzbekistan;10992,112
Vanuatu;2882,803
Venezuela;7943,251
Vietnam;14981,697
West Bank and Gaza;5561,553
Yemen;2012,953
Zambia;4110,186
Zimbabwe;4965,194